OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
13223,Atlantic Ocean,,,Manta net,0.323625,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,39.595,-13.568333,8/5/2014 12:00:00 AM,7fc40b67-be36-4b19-9dab-efbf07564684,-13.5683329999999,39.595
13741,Atlantic Ocean,,,Manta net,0.048335,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,38.743167,-9.091667,10/4/2020 12:00:00 AM,e469ed60-898c-476b-888c-6e66dea0174e,-9.09166699999997,38.743167
13151,Atlantic Ocean,,,Manta net,0.809166,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,32.81,-27.253333,9/17/2013 12:00:00 AM,1f203f58-6b63-4763-87d5-1859207490dc,-27.2533329999999,32.8100000000001
13835,Atlantic Ocean,,,Manta net,1.277268,pieces/m3,1-10,High,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,28.615167,-72.5195,5/27/2021 12:00:00 AM,f2f5605f-8541-44c8-8826-a90e2f9160da,-72.5194999999999,28.615167
21950,Atlantic Ocean,Caribbean Sea,,Manta net,1.19,pieces/m3,1-10,High,"Rose and Webber, 2019","Rose, D., M. Webber. 2019. Characterization of microplastics in the surface waters of Kingston Harbour. Science of the Total Environment 664 (2019) 753-760. https://doi.org/10.1016/j.scitotenv.2019.01.319",https://doi.org/10.1016/j.scitotenv.2019.01.319,"University of the West Indies, Mona, Jamaica","Kingston Harbor, Jamaica ",284765,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:284765,17.94925,-76.82475,11/2/2017 12:00:00 AM,ec40d720-97eb-4fb6-bf18-314ac5d17883,-76.8247499999999,17.9492500000001
13217,Atlantic Ocean,,,Manta net,0.199134,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,39.64,-18.155,8/3/2014 12:00:00 AM,0d71e17f-f135-4010-ada0-e7afa7f392bf,-18.155,39.64
13678,Atlantic Ocean,,,Manta net,0.058058,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,39.133667,-30.372,6/6/2019 12:00:00 AM,d74066ca-9a72-478a-84cc-74ef88379c85,-30.372,39.1336670000001
21942,Atlantic Ocean,Caribbean Sea,,Manta net,1.22,pieces/m3,1-10,High,"Rose and Webber, 2019","Rose, D., M. Webber. 2019. Characterization of microplastics in the surface waters of Kingston Harbour. Science of the Total Environment 664 (2019) 753-760. https://doi.org/10.1016/j.scitotenv.2019.01.319",https://doi.org/10.1016/j.scitotenv.2019.01.319,"University of the West Indies, Mona, Jamaica","Kingston Harbor, Jamaica ",284765,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:284765,17.949806,-76.820278,9/14/2017 12:00:00 AM,b3b01c99-cad6-4243-9f58-fbbf1e378a52,-76.820278,17.949806
13323,Atlantic Ocean,,,Manta net,0.12053,pieces/m3,0.005-1,Medium,Faure et al.2015,"Faure, F., C. Saini, G. Potter, F. Galgani, L.F. de Alencastro, P. Hagmann. 2015. An evaluation of surface micro- and mesoplastic pollution in pelagic ecosystems of the Western Mediterranean Sea. Environmental Science and Pollution Research 22:12190-12197. https://doi.org/10.1007/s11356-015-4453-3",https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",Oceaneye Association; Citizen Science,276422,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:276422,40.514333,-8.858333,8/14/2015 12:00:00 AM,006d3fd3-c7bb-4ab3-92a5-2e4c407f4aff,-8.85833299999996,40.5143330000001
10675,Pacific Ocean,,,Manta net,0.033,pieces/m3,0.005-1,Medium,Goldstein et al.2013,"Goldstein, M.C., A.J. Titmus, M. Ford. 2013. Scales of Spatial Heterogeneity of Plastic Marine Debris in the Northeast Pacific Ocean. PLoS ONE 8(11): e80020.",https://doi.org/10.1371/journal.pone.0080020,Scripps Institution of Oceanography-University of California San Diego,Great Pacific Garbage Patch/SEAPLEX,253448,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0253448,3.2,-107.266,9/19/2000 12:00:00 AM,675603b5-b3f9-4a78-882d-3433b5de0d1d,-107.266,3.20000000000005
